2021-04-24 14:34:59,025:INFO:
=======
models:UNet,
epoch:1,
batch size:1
dataset:kaggleLung
========
2021-04-24 14:35:01,994:INFO:Epoch 0/0
2021-04-24 14:35:07,191:INFO:85/213,train_loss:0.149
2021-04-24 14:35:07,247:INFO:86/213,train_loss:0.220
2021-04-24 14:35:07,304:INFO:87/213,train_loss:0.193
2021-04-24 14:35:07,360:INFO:88/213,train_loss:0.158
2021-04-24 14:35:07,417:INFO:89/213,train_loss:0.344
2021-04-24 14:35:07,474:INFO:90/213,train_loss:0.152
2021-04-24 14:35:07,530:INFO:91/213,train_loss:0.204
2021-04-24 14:35:07,586:INFO:92/213,train_loss:0.163
2021-04-24 14:35:07,643:INFO:93/213,train_loss:0.177
2021-04-24 14:35:07,699:INFO:94/213,train_loss:0.131
2021-04-24 14:35:07,755:INFO:95/213,train_loss:0.171
2021-04-24 14:35:07,811:INFO:96/213,train_loss:0.174
2021-04-24 14:35:07,868:INFO:97/213,train_loss:0.200
2021-04-24 14:35:07,924:INFO:98/213,train_loss:0.149
2021-04-24 14:35:07,981:INFO:99/213,train_loss:0.146
2021-04-24 14:35:08,037:INFO:100/213,train_loss:0.165
2021-04-24 14:35:08,093:INFO:101/213,train_loss:0.126
2021-04-24 14:35:08,150:INFO:102/213,train_loss:0.148
2021-04-24 14:35:08,206:INFO:103/213,train_loss:0.133
2021-04-24 14:35:08,262:INFO:104/213,train_loss:0.129
2021-04-24 14:35:08,318:INFO:105/213,train_loss:0.173
2021-04-24 14:35:08,374:INFO:106/213,train_loss:0.155
2021-04-24 14:35:08,431:INFO:107/213,train_loss:0.119
2021-04-24 14:35:08,487:INFO:108/213,train_loss:0.122
2021-04-24 14:35:08,543:INFO:109/213,train_loss:0.116
2021-04-24 14:35:08,599:INFO:110/213,train_loss:0.223
2021-04-24 14:35:08,656:INFO:111/213,train_loss:0.127
2021-04-24 14:35:08,712:INFO:112/213,train_loss:0.115
2021-04-24 14:35:08,768:INFO:113/213,train_loss:0.115
2021-04-24 14:35:08,825:INFO:114/213,train_loss:0.102
2021-04-24 14:35:08,881:INFO:115/213,train_loss:0.121
2021-04-24 14:35:08,937:INFO:116/213,train_loss:0.112
2021-04-24 14:35:08,994:INFO:117/213,train_loss:0.138
2021-04-24 14:35:09,050:INFO:118/213,train_loss:0.108
2021-04-24 14:35:09,106:INFO:119/213,train_loss:0.105
2021-04-24 14:35:09,163:INFO:120/213,train_loss:0.240
2021-04-24 14:35:09,219:INFO:121/213,train_loss:0.453
2021-04-24 14:35:09,276:INFO:122/213,train_loss:0.107
2021-04-24 14:35:09,332:INFO:123/213,train_loss:0.121
2021-04-24 14:35:09,389:INFO:124/213,train_loss:0.135
2021-04-24 14:35:09,445:INFO:125/213,train_loss:0.137
2021-04-24 14:35:09,501:INFO:126/213,train_loss:0.102
2021-04-24 14:35:09,558:INFO:127/213,train_loss:0.139
2021-04-24 14:35:09,614:INFO:128/213,train_loss:0.130
2021-04-24 14:35:09,671:INFO:129/213,train_loss:0.109
2021-04-24 14:35:09,727:INFO:130/213,train_loss:0.104
2021-04-24 14:35:09,783:INFO:131/213,train_loss:0.133
2021-04-24 14:35:09,840:INFO:132/213,train_loss:0.219
2021-04-24 14:35:09,896:INFO:133/213,train_loss:0.146
2021-04-24 14:35:09,953:INFO:134/213,train_loss:0.119
2021-04-24 14:35:10,010:INFO:135/213,train_loss:0.144
2021-04-24 14:35:10,067:INFO:136/213,train_loss:0.100
2021-04-24 14:35:10,123:INFO:137/213,train_loss:0.135
2021-04-24 14:35:10,180:INFO:138/213,train_loss:0.371
2021-04-24 14:35:10,237:INFO:139/213,train_loss:0.241
2021-04-24 14:35:10,293:INFO:140/213,train_loss:0.117
2021-04-24 14:35:10,350:INFO:141/213,train_loss:0.220
2021-04-24 14:35:10,407:INFO:142/213,train_loss:0.164
2021-04-24 14:35:10,464:INFO:143/213,train_loss:0.102
2021-04-24 14:35:10,521:INFO:144/213,train_loss:0.110
2021-04-24 14:35:10,577:INFO:145/213,train_loss:0.087
2021-04-24 14:35:10,634:INFO:146/213,train_loss:0.087
2021-04-24 14:35:10,691:INFO:147/213,train_loss:0.342
2021-04-24 14:35:10,748:INFO:148/213,train_loss:0.099
2021-04-24 14:35:10,804:INFO:149/213,train_loss:0.147
2021-04-24 14:35:10,861:INFO:150/213,train_loss:0.128
2021-04-24 14:35:10,917:INFO:151/213,train_loss:0.093
2021-04-24 14:35:10,973:INFO:152/213,train_loss:0.098
2021-04-24 14:35:11,030:INFO:153/213,train_loss:0.092
2021-04-24 14:35:11,087:INFO:154/213,train_loss:0.164
2021-04-24 14:35:11,143:INFO:155/213,train_loss:0.099
2021-04-24 14:35:11,201:INFO:156/213,train_loss:0.101
2021-04-24 14:35:11,258:INFO:157/213,train_loss:0.145
2021-04-24 14:35:11,315:INFO:158/213,train_loss:0.079
2021-04-24 14:35:11,372:INFO:159/213,train_loss:0.075
2021-04-24 14:35:11,428:INFO:160/213,train_loss:0.101
2021-04-24 14:35:11,485:INFO:161/213,train_loss:0.086
2021-04-24 14:35:11,542:INFO:162/213,train_loss:0.086
2021-04-24 14:35:11,599:INFO:163/213,train_loss:0.116
2021-04-24 14:35:11,656:INFO:164/213,train_loss:0.091
2021-04-24 14:35:11,713:INFO:165/213,train_loss:0.095
2021-04-24 14:35:11,769:INFO:166/213,train_loss:0.092
2021-04-24 14:35:11,827:INFO:167/213,train_loss:0.098
2021-04-24 14:35:11,883:INFO:168/213,train_loss:0.127
2021-04-24 14:35:11,940:INFO:169/213,train_loss:0.072
2021-04-24 14:35:11,997:INFO:170/213,train_loss:0.080
2021-04-24 14:35:12,054:INFO:171/213,train_loss:0.076
2021-04-24 14:35:12,111:INFO:172/213,train_loss:0.199
2021-04-24 14:35:12,169:INFO:173/213,train_loss:0.081
2021-04-24 14:35:12,226:INFO:174/213,train_loss:0.069
2021-04-24 14:35:12,283:INFO:175/213,train_loss:0.072
2021-04-24 14:35:12,340:INFO:176/213,train_loss:0.080
2021-04-24 14:35:12,397:INFO:177/213,train_loss:0.076
2021-04-24 14:35:12,454:INFO:178/213,train_loss:0.061
2021-04-24 14:35:12,511:INFO:179/213,train_loss:0.078
2021-04-24 14:35:12,567:INFO:180/213,train_loss:0.087
2021-04-24 14:35:12,624:INFO:181/213,train_loss:0.109
2021-04-24 14:35:12,680:INFO:182/213,train_loss:0.087
2021-04-24 14:35:12,737:INFO:183/213,train_loss:0.269
2021-04-24 14:35:12,793:INFO:184/213,train_loss:0.064
2021-04-24 14:35:12,850:INFO:185/213,train_loss:0.080
2021-04-24 14:35:12,907:INFO:186/213,train_loss:0.081
2021-04-24 14:35:12,964:INFO:187/213,train_loss:0.082
2021-04-24 14:35:13,020:INFO:188/213,train_loss:0.073
2021-04-24 14:35:13,077:INFO:189/213,train_loss:0.218
2021-04-24 14:35:13,133:INFO:190/213,train_loss:0.096
2021-04-24 14:35:13,189:INFO:191/213,train_loss:0.090
2021-04-24 14:35:13,246:INFO:192/213,train_loss:0.098
2021-04-24 14:35:13,302:INFO:193/213,train_loss:0.122
2021-04-24 14:35:13,359:INFO:194/213,train_loss:0.074
2021-04-24 14:35:13,415:INFO:195/213,train_loss:0.095
2021-04-24 14:35:13,471:INFO:196/213,train_loss:0.080
2021-04-24 14:35:13,527:INFO:197/213,train_loss:0.078
